---------------DATE-------------------Username---------------PAGE------------------IP Address-----
----[22/January/2016 05:06:07]-------user_hr----------/PII-FIX/index.php----------::1
----[22/January/2016 05:36:32]-------user_hr----------/PII-FIX/index.php----------::1
----[22/January/2016 05:36:48]-------user_rac----------/PII-FIX/index.php----------::1
----[22/January/2016 05:44:50]-------user_rac----------/PII-FIX/index.php----------::1
----[22/January/2016 05:47:29]-------user_hr----------/PII-FIX/index.php----------::1
----[22/January/2016 05:54:55]-------head_hr----------/PII-FIX/index.php----------::1
----[22/January/2016 06:04:50]-------user_hr----------/PII-FIX/index.php----------::1
----[22/January/2016 06:32:51]-------user_rac----------/PII-FIX/index.php----------::1
----[22/January/2016 06:50:27]-------user_hr----------/PII-FIX/index.php----------::1
----[22/January/2016 07:11:37]-------head_hr----------/PII-FIX/index.php----------::1
----[22/January/2016 11:24:14]-------head_hr----------/PII-FIX/index.php----------::1
----[23/January/2016 12:21:27]-------user_rac----------/PII-FIX/index.php----------::1
----[23/January/2016 02:02:33]-------user_hr----------/PII-FIX/index.php----------::1
----[23/January/2016 02:04:11]-------user_it----------/PII-FIX/index.php----------::1
----[23/January/2016 11:06:57]-------user_rac----------/PII-FIX/index.php----------::1
----[23/January/2016 11:48:14]-------head_hr----------/PII-FIX/index.php----------::1
----[23/January/2016 02:14:57]-------user_hr----------/PII-FIX/index.php----------::1
----[23/January/2016 02:27:40]-------head_hr----------/PII-FIX/index.php----------::1
----[23/January/2016 03:06:59]-------user_hr----------/PII-FIX/index.php----------::1
----[23/January/2016 03:08:05]-------head_hr----------/PII-FIX/index.php----------::1
